ID,DAY,MONTH,YEAR,DATE,HOUR,MIN,SEC,TIME,TYPE,LIKES,COMMENTS,TOTAL_WORDS,POS,NEG,NEU,COMP
1405174859572227_1347517925337921,6,5,2017,5/6/17,8,16,50,08:16:50,video,3,0,2,0.811,0,0.189,0.647
1405174859572227_1347516588671388,6,5,2017,5/6/17,8,14,4,08:14:04,video,5,0,7,0.318,0,0.682,0.42
1405174859572227_1347507935338920,6,5,2017,5/6/17,7,54,42,07:54:42,video,7,1,0,0,0,0,0
1405174859572227_1347506702005710,6,5,2017,5/6/17,7,51,53,07:51:53,video,6,0,6,0.31,0.245,0.445,0.151
1405174859572227_1345726652183715,5,5,2017,5/5/17,1,56,43,01:56:43,video,4,0,3,0.897,0,0.103,0.866
1405174859572227_1345719642184416,5,5,2017,5/5/17,1,48,44,01:48:44,video,1,0,0,0,0,0,0
1405174859572227_1345715858851461,5,5,2017,5/5/17,1,42,0,01:42:00,video,5,0,7,0.405,0,0.595,0.624
1405174859572227_1345697218853325,5,5,2017,5/5/17,1,18,39,01:18:39,video,1,0,0,0,0,0,0
1405174859572227_1345693518853695,5,5,2017,5/5/17,1,15,27,01:15:27,status,2,0,0,0,0,0,0
1405174859572227_1345658558857191,5,5,2017,5/5/17,0,28,36,00:28:36,photo,6,0,0,0,0,0,0
1405174859572227_1345658135523900,5,5,2017,5/5/17,0,27,24,00:27:24,video,4,0,4,0,0,1,0
1405174859572227_1345655808857466,5,5,2017,5/5/17,0,20,41,00:20:41,video,4,2,1,0,0,1,0
1405174859572227_1345649258858121,5,5,2017,5/5/17,0,17,3,00:17:03,video,2,0,0,0,0,0,0
1405174859572227_1345648795524834,5,5,2017,5/5/17,0,15,40,00:15:40,video,0,0,0,0,0,0,0
1405174859572227_1343102369112810,3,5,2017,5/3/17,0,7,25,00:07:25,video,5,0,0,0,0,0,0
1405174859572227_1343101562446224,3,5,2017,5/3/17,0,5,27,00:05:27,video,6,0,0,0,0,0,0
1405174859572227_1343100352446345,3,5,2017,5/3/17,0,2,16,00:02:16,video,5,0,0,0,0,0,0
1405174859572227_1343099605779753,3,5,2017,5/3/17,0,0,59,00:00:59,video,2,0,0,0,0,0,0
1405174859572227_1343096252446755,2,5,2017,5/2/17,23,54,21,23:54:21,video,2,0,0,0,0,0,0
1405174859572227_1342945355795178,2,5,2017,5/2/17,21,25,11,21:25:11,link,6,0,167,0.146,0.106,0.748,0.862
1405174859572227_1342922235797490,2,5,2017,5/2/17,21,6,12,21:06:12,photo,4,0,0,0,0,0,0
1405174859572227_1342922152464165,2,5,2017,5/2/17,21,6,5,21:06:05,photo,4,0,0,0,0,0,0
1405174859572227_1339828719440175,30,4,2017,4/30/17,1,41,51,01:41:51,video,6,0,0,0,0,0,0
1405174859572227_1338407166248997,28,4,2017,4/28/17,18,9,32,18:09:32,video,5,0,4,0,0.714,0.286,-0.611
1405174859572227_1338402936249420,28,4,2017,4/28/17,18,1,8,18:01:08,video,1,0,0,0,0,0,0
1405174859572227_1337919666297747,28,4,2017,4/28/17,6,36,48,06:36:48,video,2,0,0,0,0,0,0
1405174859572227_1337918062964574,28,4,2017,4/28/17,6,34,0,06:34:00,status,5,0,0,0,0,0,0
1405174859572227_1337840879638959,28,4,2017,4/28/17,5,13,53,05:13:53,video,6,0,0,0,0,0,0
1405174859572227_1337823979640649,28,4,2017,4/28/17,5,11,13,05:11:13,video,3,0,0,0,0,0,0
1405174859572227_1337819669641080,28,4,2017,4/28/17,5,10,38,05:10:38,video,0,0,0,0,0,0,0
1405174859572227_1337807436308970,28,4,2017,4/28/17,5,8,44,05:08:44,video,10,1,0,0,0,0,0
1405174859572227_1337796759643371,28,4,2017,4/28/17,5,5,39,05:05:39,video,2,0,0,0,0,0,0
1405174859572227_1337793399643707,28,4,2017,4/28/17,5,2,56,05:02:56,video,5,0,0,0,0,0,0
1405174859572227_1336737696415944,27,4,2017,4/27/17,4,54,21,04:54:21,video,0,0,0,0,0,0,0
1405174859572227_1336735206416193,27,4,2017,4/27/17,4,48,34,04:48:34,video,6,1,0,0,0,0,0
1405174859572227_1336733616416352,27,4,2017,4/27/17,4,44,15,04:44:15,video,5,0,0,0,0,0,0
1405174859572227_1336732663083114,27,4,2017,4/27/17,4,41,20,04:41:20,video,3,0,4,0.545,0,0.455,0.556
1405174859572227_1336731973083183,27,4,2017,4/27/17,4,40,1,04:40:01,video,3,0,0,0,0,0,0
1405174859572227_1336731583083222,27,4,2017,4/27/17,4,38,58,04:38:58,video,2,0,0,0,0,0,0
1405174859572227_1336728269750220,27,4,2017,4/27/17,4,29,47,04:29:47,video,4,1,0,0,0,0,0
1405174859572227_1336395403116840,26,4,2017,4/26/17,20,52,39,20:52:39,video,8,0,0,0,0,0,0
1405174859572227_1336395026450211,26,4,2017,4/26/17,20,52,8,20:52:08,video,2,0,0,0,0,0,0
1405174859572227_1336393543117026,26,4,2017,4/26/17,20,49,1,20:49:01,photo,9,0,0,0,0,0,0
1405174859572227_1336393363117044,26,4,2017,4/26/17,20,48,41,20:48:41,photo,16,0,0,0,0,0,0
1405174859572227_1334002283356152,24,4,2017,4/24/17,17,22,47,17:22:47,video,2,0,0,0,0,0,0
1405174859572227_1334000790022968,24,4,2017,4/24/17,17,20,58,17:20:58,video,4,0,0,0,0,0,0
1405174859572227_1333997746689939,24,4,2017,4/24/17,17,17,37,17:17:37,video,9,0,0,0,0,0,0
1405174859572227_1332861333470247,23,4,2017,4/23/17,18,7,50,18:07:50,video,6,0,3,0.687,0,0.313,0.659
1405174859572227_1332857936803920,23,4,2017,4/23/17,18,5,28,18:05:28,video,4,0,0,0,0,0,0
1405174859572227_1332855273470853,23,4,2017,4/23/17,18,4,6,18:04:06,video,6,0,0,0,0,0,0
1405174859572227_1332850913471289,23,4,2017,4/23/17,18,2,0,18:02:00,video,5,0,5,0,0,1,0
1405174859572227_1332848490138198,23,4,2017,4/23/17,17,58,34,17:58:34,video,2,0,0,0,0,0,0
1405174859572227_1332237143532666,23,4,2017,4/23/17,6,30,52,06:30:52,link,5,0,74,0.066,0.166,0.768,-0.857
1405174859572227_1332230860199961,23,4,2017,4/23/17,6,17,17,06:17:17,video,0,0,0,0,0,0,0
1405174859572227_1332229283533452,23,4,2017,4/23/17,6,12,59,06:12:59,video,4,0,0,0,0,0,0
